game,player
1,Chinese
2,Chinese
3,Chinese
4,Chinese
5,Chinese
6,Chinese
7,Chinese
8,Chinese
9,Chinese
10,Chinese
11,Chinese
12,Chinese
13,Chinese
14,Chinese
15,Chinese
16,Chinese
17,Chinese
18,Chinese
19,Chinese
20,Chinese
21,Chinese
22,Chinese
23,Chinese
24,Chinese
25,Chinese
26,Chinese
27,Chinese
28,Chinese
29,Chinese
30,Chinese
31,Chinese
32,Chinese
33,Chinese
34,Chinese
35,Chinese
36,Chinese
37,Chinese
38,Chinese
39,Chinese
40,Chinese
41,Chinese
42,Chinese
43,Chinese
44,Chinese
45,Chinese
46,Chinese
47,Chinese
48,Chinese
49,Chinese
50,Chinese
51,Chinese
52,Chinese
53,Chinese
54,Chinese
55,Chinese
56,Chinese
57,Chinese
58,Chinese
59,Chinese
60,Chinese
61,Chinese
62,Chinese
63,Chinese
64,Chinese
65,Chinese
66,Chinese
67,Chinese
68,Chinese
69,Chinese
70,Chinese
71,Chinese
72,Chinese
73,Chinese
74,Chinese
75,Chinese
76,Chinese
77,Chinese
78,Chinese
79,Chinese
80,Chinese
81,Chinese
82,Chinese
83,Chinese
84,Chinese
85,Chinese
86,Chinese
87,Chinese
88,Chinese
89,Chinese
90,Chinese
91,Chinese
92,Chinese
93,Chinese
94,Chinese
95,Chinese
96,Chinese
97,Chinese
98,Chinese
99,Chinese
100,Chinese
