game,round,iteration,depth,current_player,terr_attacked_in_round (actions taken)
1,1,1,0,Germans,1
1,1,1,0,Chinese,1
1,1,1,0,Russians,2
1,1,1,0,Italians,3
1,1,1,1,Germans,2
1,1,1,1,Chinese,2
1,1,1,1,Russians,2
1,1,1,1,Italians,2
1,1,1,2,Germans,3
1,1,1,2,Chinese,2
1,1,1,2,Russians,1
1,1,1,2,Italians,2
1,1,1,3,Germans,2
1,1,1,3,Chinese,2
1,1,1,3,Russians,2
1,1,1,3,Italians,2
1,1,1,4,Germans,3
1,1,1,4,Chinese,2
1,1,1,4,Russians,1
1,1,1,4,Italians,1
1,1,2,0,Germans,2
1,1,2,0,Chinese,2
1,1,2,0,Russians,2
1,1,2,0,Italians,3
1,1,2,1,Germans,2
1,1,2,1,Chinese,3
1,1,2,1,Russians,2
1,1,2,1,Italians,2
1,1,2,2,Germans,2
1,1,2,2,Chinese,1
1,1,2,2,Russians,1
1,1,2,2,Italians,1
1,1,2,3,Germans,1
1,1,2,3,Chinese,1
1,1,2,3,Russians,2
1,1,2,3,Italians,2
1,1,2,4,Germans,2
1,1,2,4,Chinese,2
1,1,2,4,Russians,1
1,1,2,4,Italians,3
1,1,3,0,Germans,2
1,1,3,0,Chinese,1
1,1,3,0,Russians,2
1,1,3,0,Italians,3
1,1,3,1,Germans,2
1,1,3,1,Chinese,2
1,1,3,1,Russians,2
1,1,3,1,Italians,2
1,1,3,2,Germans,2
1,1,3,2,Chinese,2
1,1,3,2,Russians,1
1,1,3,2,Italians,1
1,1,3,3,Germans,2
1,1,3,3,Chinese,1
1,1,3,3,Russians,1
1,1,3,3,Italians,2
1,1,3,4,Germans,4
1,1,3,4,Chinese,2
1,1,3,4,Russians,1
1,1,3,4,Italians,1
1,1,4,0,Germans,1
1,1,4,0,Chinese,2
1,1,4,0,Russians,2
1,1,4,0,Italians,3
1,1,4,1,Germans,1
1,1,4,1,Chinese,3
1,1,4,1,Russians,2
1,1,4,1,Italians,1
