game,port,player
1,5003,Chinese
1,5002,Germans
1,5000,Russians
1,5001,Italians
2,5001,Italians
2,5002,Germans
2,5000,Russians
2,5003,Chinese
3,5002,Germans
3,5003,Chinese
3,5001,Italians
3,5000,Russians
4,5001,Italians
4,5000,Russians
4,5002,Germans
4,5003,Chinese
5,5002,Germans
5,5001,Italians
5,5000,Russians
5,5003,Chinese
6,5001,Italians
6,5003,Chinese
6,5002,Germans
6,5000,Russians
7,5002,Germans
7,5000,Russians
7,5001,Italians
7,5003,Chinese
8,5003,Chinese
8,5002,Germans
8,5001,Italians
8,5000,Russians
9,5003,Chinese
9,5000,Russians
9,5002,Germans
9,5001,Italians
10,5002,Germans
10,5003,Chinese
10,5001,Italians
10,5000,Russians
11,5003,Chinese
11,5001,Italians
11,5000,Russians
11,5002,Germans
12,5000,Russians
12,5003,Chinese
12,5001,Italians
12,5002,Germans
13,5000,Russians
13,5002,Germans
13,5001,Italians
13,5003,Chinese
14,5002,Germans
14,5000,Russians
14,5001,Italians
14,5003,Chinese
15,5000,Russians
15,5002,Germans
15,5001,Italians
15,5003,Chinese
16,5000,Russians
16,5003,Chinese
16,5001,Italians
16,5002,Germans
17,5001,Italians
17,5002,Germans
17,5003,Chinese
17,5000,Russians
18,5001,Italians
18,5002,Germans
18,5000,Russians
18,5003,Chinese
19,5003,Chinese
19,5000,Russians
19,5001,Italians
19,5002,Germans
20,5000,Russians
20,5001,Italians
20,5003,Chinese
20,5002,Germans
21,5003,Chinese
21,5000,Russians
21,5002,Germans
21,5001,Italians
22,5003,Chinese
22,5000,Russians
22,5002,Germans
22,5001,Italians
23,5000,Russians
23,5002,Germans
23,5001,Italians
23,5003,Chinese
24,5001,Italians
24,5003,Chinese
24,5000,Russians
24,5002,Germans
25,5003,Chinese
25,5001,Italians
25,5002,Germans
25,5000,Russians
26,5002,Germans
26,5001,Italians
26,5000,Russians
26,5003,Chinese
27,5001,Italians
27,5003,Chinese
27,5000,Russians
27,5002,Germans
28,5003,Chinese
28,5002,Germans
28,5001,Italians
28,5000,Russians
29,5002,Germans
29,5003,Chinese
29,5000,Russians
29,5001,Italians
30,5002,Germans
30,5001,Italians
30,5003,Chinese
30,5000,Russians
31,5002,Germans
31,5000,Russians
31,5003,Chinese
31,5001,Italians
32,5002,Germans
32,5003,Chinese
32,5000,Russians
32,5001,Italians
33,5001,Italians
33,5000,Russians
33,5003,Chinese
33,5002,Germans
